Education Qualification,Subject Expertise,Teaching Years,Student Performance,Attendance,Courses Previously Taught,Seminars Attended,Research Interests,Learning Style,Certifications,Teaching Methodology,Future Courses,Age,Gender,University Type,Publication Count,Student Feedback Score
PhD,Information Technology,20,3.54,67,"Web Development, IoT, IT Project Management, Network Security",Cybersecurity Trends in Information Technology,Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"IoT, Blockchain",57,Female,State University,15,4.8
Bachelors,Computer Science,7,4.0,94,"Software Engineering, Operating Systems","Data Science in Computer Science, AI in Computer Science, Cloud Innovations in Computer Science","Machine Learning, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Algorithms,39,Male,Open University,0,4.3
Masters,Information Technology,8,3.1799999999999997,55,"IT Project Management, IoT, Big Data",AI in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,"Blockchain, Database Systems",35,Male,Open University,8,4.8
Bachelors,Computer Science,8,3.88,76,"Machine Learning, Data Science, Software Engineering, Data Structures","Data Science in Computer Science, AI in Computer Science","Machine Learning, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Operating Systems,40,Female,Community College,3,4.2
PhD,Information Technology,20,3.61,90,"Network Security, Blockchain",AI in Information Technology,IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"IT Project Management, Network Security",62,Non-Binary,Private University,5,5.0
Bachelors,Information Technology,3,3.9099999999999997,55,"IT Project Management, Web Development, IoT",Cloud Innovations in Information Technology,Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,IT Project Management,31,Female,Community College,2,3.4
Bachelors,Computer Science,2,3.6100000000000003,64,"Cybersecurity, Artificial Intelligence, Data Structures","Data Science in Computer Science, Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science","Algorithms, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Machine Learning, Cybersecurity",37,Male,State University,3,3.8
Masters,Information Technology,7,3.42,74,"IoT, Network Security, Big Data, Cloud Computing",Data Science in Information Technology,"IT Project Management, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Web Development,41,Non-Binary,Community College,13,4.5
PhD,Computer Science,15,3.9200000000000004,70,"Data Structures, Software Engineering, Data Science","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science","Operating Systems, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Operating Systems,57,Male,Open University,21,4.0
Masters,Information Technology,16,3.87,87,"Database Systems, Blockchain","Cloud Innovations in Information Technology, Data Science in Information Technology","IT Project Management, Network Security","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Case Studies,Big Data,51,Male,Community College,4,4.7
Bachelors,Information Technology,6,4.0,64,"IT Project Management, Big Data, IoT, Web Development","Cybersecurity Trends in Information Technology, Data Science in Information Technology, Cloud Innovations in Information Technology","IoT, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"IT Project Management, Database Systems",33,Female,Open University,3,4.9
Bachelors,Information Technology,5,3.89,98,"Network Security, Blockchain, Big Data, Cloud Computing","Cybersecurity Trends in Information Technology, AI in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,"Big Data, Blockchain",31,Female,Community College,2,4.6
PhD,Information Technology,26,3.35,68,"IoT, IT Project Management",AI in Information Technology,IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,Blockchain,79,Female,Community College,23,4.1
PhD,Computer Science,25,4.0,92,"Software Engineering, Machine Learning","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science, Data Science in Computer Science",Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Data Science,70,Male,Community College,26,4.5
PhD,Information Technology,12,3.9499999999999997,53,"IT Project Management, Blockchain, Cloud Computing","AI in Information Technology, Data Science in Information Technology, Cloud Innovations in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"Big Data, IT Project Management",52,Male,Community College,17,4.1
PhD,Information Technology,15,4.0,100,"IoT, Network Security",AI in Information Technology,"Database Systems, Cloud Computing","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,IT Project Management,51,Male,Private University,28,3.2
Bachelors,Information Technology,4,4.0,68,"Big Data, IoT",Cybersecurity Trends in Information Technology,"Web Development, IoT","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Flipped Classroom,"Database Systems, Network Security",32,Male,Community College,2,4.9
Bachelors,Information Technology,3,4.0,68,"Big Data, Cloud Computing, IT Project Management",Data Science in Information Technology,Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Cloud Computing,35,Non-Binary,State University,4,3.4
PhD,Computer Science,27,3.9000000000000004,93,"Operating Systems, Data Science, Data Structures","AI in Computer Science, Cybersecurity Trends in Computer Science","Software Engineering, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,"Operating Systems, Algorithms",62,Female,Community College,6,3.6
Masters,Information Technology,10,3.9,87,"Database Systems, Web Development",Data Science in Information Technology,"IoT, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,IoT,37,Female,Community College,10,4.3
Bachelors,Computer Science,9,4.0,95,"Machine Learning, Algorithms, Software Engineering, Cybersecurity","Data Science in Computer Science, AI in Computer Science","Data Structures, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Software Engineering, Algorithms",39,Female,State University,4,3.5
Bachelors,Computer Science,8,4.0,94,"Algorithms, Machine Learning, Data Structures, Operating Systems","Data Science in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science",Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,Artificial Intelligence,43,Non-Binary,State University,1,4.2
Masters,Information Technology,11,3.82,75,"Cloud Computing, Web Development, Big Data","Cloud Innovations in Information Technology, AI in Information Technology, Cybersecurity Trends in Information Technology","IT Project Management, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Network Security,50,Non-Binary,Private University,9,4.6
Bachelors,Computer Science,7,4.0,91,"Software Engineering, Machine Learning",AI in Computer Science,"Software Engineering, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Case Studies,Data Science,39,Male,Open University,4,3.8
PhD,Information Technology,13,4.0,82,"IoT, Cloud Computing","Data Science in Information Technology, AI in Information Technology, Cloud Innovations in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Cloud Computing, Big Data",48,Female,Open University,12,4.7
Masters,Information Technology,14,4.0,80,"IT Project Management, Big Data, IoT",Data Science in Information Technology,Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,"Big Data, Web Development",52,Non-Binary,Private University,9,4.5
Masters,Computer Science,7,4.0,65,"Data Structures, Artificial Intelligence, Operating Systems","AI in Computer Science, Cloud Innovations in Computer Science","Cybersecurity, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Cybersecurity, Machine Learning",47,Male,Private University,6,4.1
Masters,Computer Science,7,3.17,94,"Data Structures, Algorithms","Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science","Algorithms, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,Data Structures,50,Non-Binary,Private University,3,4.7
Bachelors,Information Technology,6,3.84,96,"Cloud Computing, IT Project Management, Web Development",Cloud Innovations in Information Technology,"IT Project Management, Cloud Computing","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,IoT,36,Non-Binary,Open University,3,4.3
PhD,Information Technology,29,3.19,57,"Web Development, IT Project Management",Cybersecurity Trends in Information Technology,Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Cloud Computing,68,Female,State University,26,4.0
PhD,Information Technology,13,4.0,95,"Web Development, IoT",Cybersecurity Trends in Information Technology,"Web Development, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Big Data,57,Male,Private University,22,4.0
Masters,Computer Science,15,4.0,93,"Data Science, Software Engineering, Algorithms, Data Structures",AI in Computer Science,Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Cybersecurity, Machine Learning",42,Male,Open University,6,3.2
Masters,Computer Science,15,4.0,88,"Data Structures, Operating Systems, Machine Learning","Data Science in Computer Science, AI in Computer Science","Machine Learning, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Machine Learning,41,Male,State University,1,3.1
Bachelors,Information Technology,1,4.0,75,"Blockchain, IT Project Management, Database Systems",Data Science in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,Blockchain,35,Male,Community College,1,4.0
Bachelors,Information Technology,2,4.0,70,"Database Systems, Web Development, IoT, Cloud Computing","Cloud Innovations in Information Technology, Data Science in Information Technology",IT Project Management,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Web Development,27,Male,Open University,3,4.1
Bachelors,Computer Science,9,4.0,65,"Operating Systems, Algorithms, Software Engineering, Machine Learning",Cloud Innovations in Computer Science,"Data Structures, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Data Science,32,Female,Open University,0,3.6
Masters,Computer Science,11,3.56,54,"Operating Systems, Cybersecurity, Software Engineering, Data Structures","AI in Computer Science, Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science","Data Science, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Algorithms,42,Non-Binary,Community College,5,3.6
Bachelors,Computer Science,4,3.02,52,"Artificial Intelligence, Operating Systems, Software Engineering, Machine Learning",Cloud Innovations in Computer Science,Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,Algorithms,29,Non-Binary,Private University,0,3.0
Bachelors,Computer Science,1,3.7800000000000002,97,"Software Engineering, Artificial Intelligence, Data Structures, Machine Learning","AI in Computer Science, Cybersecurity Trends in Computer Science, Cloud Innovations in Computer Science","Software Engineering, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Operating Systems, Data Science",23,Non-Binary,Community College,5,3.4
Bachelors,Computer Science,3,3.62,87,"Artificial Intelligence, Cybersecurity","Data Science in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science","Software Engineering, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Algorithms, Artificial Intelligence",32,Male,Private University,1,3.6
Masters,Information Technology,15,3.83,56,"Web Development, Database Systems","AI in Information Technology, Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology","Web Development, Network Security","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Web Development,49,Non-Binary,Private University,15,3.6
